"Distance [mm]","Voltage [V]"
0,50.0190498724367
0.2,50.0190500691991
0.4,50.0190502468051
0.6,50.0190504052544
0.8,50.0190505445472
1,50.0190506646835
1.2,50.0190507656633
1.4,50.0190508474866
1.6,50.0190509101533
1.8,50.0190509536634
2,50.0190509780171
2.2,50.0190509832142
2.4,50.0190509692548
2.6,50.0190509361389
2.8,50.0190508838664
3,50.0190508124374
3.2,50.0190507218519
3.4,50.0190506121099
3.6,50.0190504832113
3.8,50.0190503351561
4,50.0190501679445
4.2,50.0190499815764
4.4,50.0190497760517
4.6,50.0190495513704
4.8,50.0190493075326
5,50.0190490445384
5.2,50.0190487623876
5.4,50.0190484627641
5.6,50.0190481575908
5.8,50.0190478376119
6,50.0190475028273
6.2,50.019047153237
6.4,50.0190467888411
6.6,50.0190464096396
6.8,50.0190460156323
7,50.0190456068195
7.2,50.0190451832009
7.4,50.0190447447768
7.6,50.019044291547
7.8,50.0190438235115
8,50.0190433406704
8.2,50.0190428430236
8.4,50.0190423305712
8.6,50.0190418033131
8.8,50.0190412612493
9,50.0190407460636
9.2,50.0190403761704
9.4,50.0190400098965
9.6,50.0190396472421
9.8,50.019039288207
10,50.0190389327913
10.2,50.019038580995
10.4,50.0190382328181
10.6,50.0190378882606
10.8,50.0190375473225
11,50.0190372100038
11.2,50.0190368763045
11.4,50.0190365462245
11.6,50.019036219764
11.8,50.0190359093462
12,50.0190356845313
12.2,50.0190354710369
12.4,50.019035268863
12.6,50.0190350780098
12.8,50.019034898477
13,50.0190347302649
13.2,50.0190345733733
13.4,50.0190344278023
13.6,50.0190340446177
13.8,50.0190330398449
14,50.0190320444666
14.2,50.0190310584828
14.4,50.0190300818935
14.6,50.0190291146987
14.8,50.0190281568985
15,50.0190272084927
15.2,50.0190262694815
15.4,50.0190253398649
15.6,50.0190244196427
15.8,50.0190235233602
16,50.0190226509614
16.2,50.0190217945646
16.4,50.0190209541697
16.6,50.0190201297767
16.8,50.0190193213858
17,50.0190185723286
17.2,50.0190184328426
17.4,50.0190182023376
17.6,50.0190178808136
17.8,50.0190174682705
18,50.0190169647084
18.2,50.0190163701272
18.4,50.0190156845271
18.6,50.0190147988768
18.8,50.0190137933424
19,50.0190127107721
19.2,50.0190115511659
19.4,50.0190103145238
19.6,50.0190090008458
19.8,50.0190076101319
20,50.0190061423821
20.2,50.0190045975964
20.4,50.0190029757748
20.6,50.0190012769173
20.8,50.0189995010239
21,50.0189976480946
21.2,50.0189957181294
21.4,50.0189937111283
21.6,50.0189916270913
21.8,50.0189894660184
22,50.0189872279096
22.2,50.0189849127649
22.4,50.0189825205843
22.6,50.0189800513678
22.8,50.0189775051154
23,50.0189748818271
23.2,50.0189721815028
23.4,50.0189694041427
23.6,50.0189665497467
23.8,50.0189636183148
24,50.0189607664316
24.2,50.018958271548
24.4,50.018955765729
24.6,50.0189532489746
24.8,50.0189507212849
25,50.0189481826598
25.2,50.0189456330993
25.4,50.0189430726035
25.6,50.0189405011723
25.8,50.0189379188057
26,50.0189353255037
26.2,50.0189327212664
26.4,50.0189301060937
26.6,50.0189274799856
26.8,50.0189248429421
27,50.0189221949633
27.2,50.0189195360491
27.4,50.0189168661995
27.6,50.0189141854146
27.8,50.0189114936943
28,50.0189073397186
28.2,50.018902845153
28.4,50.0188987543473
28.6,50.0188947655352
28.8,50.0188907771068
29,50.0188867890623
29.2,50.0188828014015
29.4,50.0188788141244
29.6,50.0188748272311
29.8,50.0188708407216
30,50.0188668950438
30.2,50.0188628510486
30.4,50.0188586506726
30.6,50.0188542939156
30.8,50.0188497807777
31,50.018845111259
31.2,50.0188402853593
31.4,50.0188353030787
31.6,50.0188301644172
31.8,50.0188248412205
32,50.0188193447773
32.2,50.0188137224409
32.4,50.0188079742112
32.6,50.0188021000883
32.8,50.0187961000721
33,50.0187899741627
33.2,50.0187838528654
33.4,50.0187785489949
33.6,50.0187732976446
33.8,50.0187680988147
34,50.0187629525051
34.2,50.0187578587159
34.4,50.018752817447
34.6,50.0187478286984
34.8,50.0187428807896
35,50.0187378075649
35.2,50.0187325682089
35.4,50.0187271627215
35.6,50.0187215911027
35.8,50.0187158533526
36,50.0187099494711
36.2,50.0187038794582
36.4,50.018697643314
36.6,50.0186911254379
36.8,50.0186842957007
37,50.0186773852419
37.2,50.0186703940614
37.4,50.0186633221592
37.6,50.0186561695352
37.8,50.0186489361896
38,50.0186433697306
38.2,50.0186385544715
38.4,50.0186341752081
38.6,50.0186302319403
38.8,50.0186267246683
39,50.0186236533921
39.2,50.0186197410356
39.4,50.0186153792478
39.6,50.0186112411965
39.8,50.0186072115246
40,50.018602059907
40.2,50.0185973870174
40.4,50.0185931928558
40.6,50.0185894774223
40.8,50.0185862407168
41,50.0185834827393
41.2,50.0185812034899
41.4,50.0185794029684
41.6,50.018578081175
41.8,50.0185772381096
42,50.0185768737722
42.2,50.0185769881629
42.4,50.0185775812816
42.6,50.0185786531283
42.8,50.018580203703
43,50.0185822330057
43.2,50.0185847410365
43.4,50.0185877277952
43.6,50.0185911932821
43.8,50.0185951374969
44,50.0185995604397
44.2,50.0186044621106
44.4,50.0186098425095
44.6,50.0186157016365
44.8,50.0186240183551
45,50.018633818947
45.2,50.0186438874765
45.4,50.0186531467146
45.6,50.018661353577
45.8,50.0186705837128
46,50.0186814240954
46.2,50.0186939617421
46.4,50.0187076000346
46.6,50.0187229149856
46.8,50.0187394531211
47,50.0187572144412
47.2,50.0187761989457
47.4,50.0187964066348
47.6,50.0188177826113
47.8,50.0188400730807
48,50.0188635276888
48.2,50.0188881464356
48.4,50.0189139293212
48.6,50.0189408763454
48.8,50.0189689875084
49,50.0189982628101
49.2,50.0190287022505
49.4,50.0190603058297
49.6,50.0190930735476
49.8,50.0191270054042
50,50.0191621013995
50.2,50.0191983615335
50.4,50.0192357858063
50.6,50.0192743742177
50.8,50.0193141267679
51,50.0193550434568
51.2,50.0193979304058
51.4,50.0194426925106
51.6,50.0194884925288
51.8,50.0195353304603
52,50.0195832063051
52.2,50.0196321200632
52.4,50.0196816596082
52.6,50.0197303888941
