"Distance [mm]","Voltage [V]"
0,50.0000054616583
0.2,50.0000054696624
0.4,50.0000054775472
0.6,50.0000054853126
0.8,50.0000054929586
1,50.0000055004852
1.2,50.0000055078925
1.4,50.0000055151804
1.6,50.000005522349
1.8,50.0000055293982
2,50.000005536328
2.2,50.0000055425448
2.4,50.0000055461496
2.6,50.0000055496993
2.8,50.0000055531937
3,50.0000055566331
3.2,50.0000055600173
3.4,50.0000055633463
3.6,50.0000055666203
3.8,50.0000055698391
4,50.0000055730027
4.2,50.0000055761113
4.4,50.0000055718905
4.6,50.0000055542811
4.8,50.0000055374745
5,50.0000055214709
5.2,50.0000055062703
5.4,50.0000054918725
5.6,50.0000054782777
5.8,50.0000054654857
6,50.0000054534967
6.2,50.0000054423106
6.4,50.0000054319275
6.6,50.0000054223472
6.8,50.0000054135699
7,50.0000054055954
7.2,50.0000053984239
7.4,50.0000053920553
7.6,50.0000053864897
7.8,50.0000053817269
8,50.0000053777671
8.2,50.0000053746102
8.4,50.0000053722562
8.6,50.0000053707051
8.8,50.0000053699569
9,50.0000053700117
9.2,50.0000053708693
9.4,50.0000053725299
9.6,50.0000053749934
9.8,50.0000053782598
10,50.0000053823292
10.2,50.0000053872014
10.4,50.0000053928766
10.6,50.0000053993546
10.8,50.0000054066356
11,50.0000054147196
11.2,50.0000054236064
11.4,50.0000054332962
11.6,50.0000054437888
11.8,50.0000054550844
12,50.0000054671829
12.2,50.0000054800843
12.4,50.0000054937887
12.6,50.0000055082959
12.8,50.0000055236061
13,50.0000055397192
13.2,50.0000055566352
13.4,50.0000055743541
13.6,50.000005592876
13.8,50.0000056122007
14,50.0000056323284
14.2,50.000005653259
14.4,50.0000056749925
14.6,50.0000056975289
14.8,50.0000057208683
15,50.0000057450105
15.2,50.0000057699556
15.4,50.0000057957038
15.6,50.0000058222548
15.8,50.0000058496087
16,50.0000058777656
16.2,50.0000059067253
16.4,50.000005936488
16.6,50.0000059670536
16.8,50.0000059984221
17,50.0000060305935
17.2,50.0000060635679
17.4,50.0000060973451
17.6,50.0000061319253
17.8,50.0000061673084
18,50.0000062034944
18.2,50.0000062404834
18.4,50.0000062782752
18.6,50.00000631687
18.8,50.0000063562677
19,50.0000063964682
19.2,50.0000064374718
19.4,50.0000064792782
19.6,50.0000065218875
19.8,50.0000065652998
20,50.000006609515
20.2,50.0000066545331
20.4,50.0000067003541
20.6,50.000006746978
20.8,50.0000067944049
21,50.0000068426347
21.2,50.0000068916674
21.4,50.000006941503
21.6,50.0000069921415
21.8,50.0000070435829
22,50.0000070958273
22.2,50.0000071488745
22.4,50.0000072027248
22.6,50.0000072573779
22.8,50.0000073128339
23,50.0000073690928
23.2,50.0000074261547
23.4,50.0000074840194
23.6,50.0000075426871
23.8,50.0000076021578
24,50.0000076624312
24.2,50.0000077235077
24.4,50.0000077853871
24.6,50.0000078480693
24.8,50.0000079102561
25,50.0000079731707
25.2,50.0000080368617
25.4,50.0000081013289
25.6,50.0000081665723
25.8,50.000008232592
26,50.000008299388
26.2,50.0000083669603
26.4,50.0000084353088
26.6,50.0000085044336
26.8,50.0000085743347
27,50.000008645012
27.2,50.0000087164656
27.4,50.0000087886954
27.6,50.0000088617016
27.8,50.0000089354839
28,50.0000090100426
28.2,50.0000090853775
28.4,50.0000091614887
28.6,50.0000092383761
28.8,50.0000093160398
29,50.0000093944798
29.2,50.0000094736961
29.4,50.0000095536886
29.6,50.0000096344574
29.8,50.0000097160024
30,50.0000097983237
30.2,50.0000098814213
30.4,50.0000099652951
30.6,50.0000100499452
30.8,50.0000101353716
31,50.0000102215742
31.2,50.0000103085531
31.4,50.0000103963083
31.6,50.0000104848397
31.8,50.0000105741474
32,50.0000106642314
32.2,50.0000107550916
32.4,50.0000108467281
32.6,50.0000109391408
32.8,50.0000110323298
33,50.0000111262951
33.2,50.0000112210367
33.4,50.0000113165545
33.6,50.0000114128486
33.8,50.0000115099189
34,50.0000116077656
34.2,50.0000117063885
34.4,50.0000118057876
34.6,50.000011905963
34.8,50.0000120069147
35,50.0000121086426
35.2,50.0000122111469
35.4,50.0000123144273
35.6,50.0000124184841
35.8,50.0000125233171
36,50.0000126289263
36.2,50.0000127353119
36.4,50.0000128424737
36.6,50.0000129504118
36.8,50.0000130591261
37,50.0000131686167
37.2,50.0000132788836
37.4,50.0000133899267
37.6,50.0000135423418
37.8,50.0000137267291
38,50.0000139109943
38.2,50.0000140951375
