position_mm,potential_mv_at_reference_drive
3.041740000000073962e+01,3.521706232558166949e+00
3.041940000000073496e+01,3.521707079059205103e+00
3.044426690000072711e+01,3.521717603987537970e+00
3.055278650000073526e+01,3.521763534964567732e+00
3.072309190000073897e+01,3.521836094592489363e+00
3.089339730000074269e+01,3.521909199952218295e+00
3.106370270000073219e+01,3.521982851054219488e+00
3.123400810000073591e+01,3.522057047938269569e+00
3.140431350000072541e+01,3.522131790598588719e+00
3.151283310000073357e+01,3.522179827559641652e+00
3.153770000000073992e+01,3.522190835067104064e+00
3.153970000000073526e+01,3.522191720381112834e+00
3.154170000000074481e+01,3.522192605695121603e+00
3.156656690000073695e+01,3.522203613202584016e+00
3.167508650000073089e+01,3.522251941613187665e+00
3.184539190000073461e+01,3.522328165720964854e+00
3.201569730000073832e+01,3.522404935595873532e+00
3.218600270000074204e+01,3.522482305513395584e+00
3.235630810000073154e+01,3.522560282137963572e+00
3.252661350000073526e+01,3.522638804477817409e+00
3.263513310000072920e+01,3.522689083792629905e+00
3.266000000000073555e+01,3.522700670400525258e+00
3.266200000000074510e+01,3.522701602290539302e+00
3.266400000000074044e+01,3.522702534180553346e+00
3.268886690000073258e+01,3.522714120788448255e+00
3.279738650000074074e+01,3.522764684954232450e+00
3.296769190000073024e+01,3.522844688798089763e+00
3.313799730000073396e+01,3.522925238425111072e+00
3.330830270000073767e+01,3.523006333777674026e+00
3.347860810000074139e+01,3.523087974880452222e+00
3.364891350000073089e+01,3.523170161740420969e+00
3.375743310000073905e+01,3.523222831890227891e+00
3.378230000000073119e+01,3.523234901077252790e+00
3.378430000000072653e+01,3.523235871780237449e+00
3.378630000000073608e+01,3.523236842483222109e+00
3.381116690000074243e+01,3.523248955020316764e+00
3.391968650000073637e+01,3.523302046444807267e+00
3.408999190000074009e+01,3.523385714810078895e+00
3.426029730000072959e+01,3.523469928885817559e+00
3.443060270000074752e+01,3.523554688689010117e+00
3.460090810000073702e+01,3.523639994270495901e+00
3.477121350000074074e+01,3.523725957370537731e+00
3.487973310000073468e+01,3.523781043005117741e+00
3.490460000000074103e+01,3.523793691292575136e+00
3.490660000000073637e+01,3.523794708571565071e+00
3.490860000000074592e+01,3.523795725850555005e+00
3.493346690000073806e+01,3.523808374138012400e+00
3.504198650000074622e+01,3.523863734484760979e+00
3.521229190000073572e+01,3.523951067364033740e+00
3.538259730000073944e+01,3.524039013412645804e+00
3.555290270000074315e+01,3.524127553026356274e+00
3.572320810000073266e+01,3.524216638374457311e+00
3.589351350000073637e+01,3.524306269430907079e+00
3.600203310000073742e+01,3.524363580661991957e+00
3.602690000000073667e+01,3.524376808062250621e+00
3.602890000000073911e+01,3.524377871918240590e+00
3.603090000000073445e+01,3.524378935774230559e+00
3.605576690000073370e+01,3.524392163174488779e+00
3.616428650000073475e+01,3.524449887787733715e+00
3.633459190000073846e+01,3.524541000351539388e+00
3.650489730000074218e+01,3.524632658677112840e+00
3.667520270000073879e+01,3.524724862743542797e+00
3.684550810000074250e+01,3.524817612542549217e+00
3.701581350000073911e+01,3.524910908124812448e+00
3.712433310000074016e+01,3.524970738725935249e+00
3.714920000000073941e+01,3.524984448706206752e+00
3.715120000000074185e+01,3.524985551375238391e+00
3.715320000000073719e+01,3.524986654044270029e+00
3.717806690000074354e+01,3.525000364024541533e+00
3.728658650000073749e+01,3.525060530666522141e+00
3.745689190000073410e+01,3.525166855522066989e+00
3.762719730000074492e+01,3.525300988881158393e+00
3.779750270000074153e+01,3.525457999648671681e+00
3.796780810000073814e+01,3.525614907963660283e+00
3.813811350000074185e+01,3.525771730509505097e+00
3.824663310000074290e+01,3.525871617795707014e+00
3.827150000000074215e+01,3.525894497979163766e+00
3.827350000000074459e+01,3.525896338191128798e+00
3.827550000000073993e+01,3.525898178403093830e+00
3.830036690000073918e+01,3.525921058586550139e+00
3.840888650000073312e+01,3.526020902690433001e+00
3.857919190000073684e+01,3.526177497658011362e+00
3.874949730000074055e+01,3.526334001426785214e+00
3.891980270000073716e+01,3.526490419422099620e+00
3.909010810000074088e+01,3.526646751603077945e+00
3.926041350000073749e+01,3.526802997972150244e+00
3.936893310000073853e+01,3.526902516358114692e+00
3.939380000000073778e+01,3.526925320660304841e+00
3.939580000000074023e+01,3.526927154769276207e+00
3.939780000000073557e+01,3.526928988878247573e+00
