position_mm,potential_mv_at_reference_drive
5.847490000000033916e+01,3.644166264397250110e+00
5.847690000000033450e+01,3.644193233457266423e+00
5.850176690000033375e+01,3.644528551916526471e+00
5.861028650000033480e+01,3.645993486642147730e+00
5.878059190000033141e+01,3.648316447014681163e+00
5.895089730000034223e+01,3.650662862868684577e+00
5.912120270000033884e+01,3.653031135145371699e+00
5.929150810000033545e+01,3.655421263867010495e+00
5.946181350000033916e+01,3.658169130545791070e+00
5.957033310000034021e+01,3.660306480010929953e+00
5.959520000000033946e+01,3.660796246425611411e+00
5.959720000000034190e+01,3.660835637456635094e+00
5.959920000000033724e+01,3.660875028487658778e+00
5.962406690000032938e+01,3.661389346870293604e+00
5.973258650000033754e+01,3.663637403146094762e+00
5.990289190000033415e+01,3.667164511605497612e+00
6.007319730000033786e+01,3.670690414499176768e+00
6.024350270000034158e+01,3.674215111810696044e+00
6.041380810000033819e+01,3.677738603713140542e+00
6.058411350000033480e+01,3.681260753811320896e+00
6.069263310000033584e+01,3.683504294371838572e+00
6.071750000000033509e+01,3.684018362908865640e+00
6.071950000000033754e+01,3.684059708515839304e+00
6.072150000000033288e+01,3.684101054122812968e+00
6.074636690000033212e+01,3.684615122659839592e+00
6.085488650000033317e+01,3.686858056456815191e+00
6.102519190000033689e+01,3.690389942988367977e+00
6.119549730000034060e+01,3.693994735486647585e+00
6.136580270000033721e+01,3.697827659147580270e+00
6.153610810000034093e+01,3.701832891569628359e+00
6.170641350000033754e+01,3.706009732774981469e+00
6.181493310000033858e+01,3.708739153038561831e+00
6.183980000000033783e+01,3.709390763097880850e+00
6.184180000000034028e+01,3.709443170921881361e+00
6.184380000000033561e+01,3.709495578745881872e+00
6.186866690000034197e+01,3.710147188805201335e+00
6.197718650000033591e+01,3.712990826853904025e+00
6.214749190000033252e+01,3.717633501427273668e+00
6.231779730000034334e+01,3.722447784744933763e+00
6.248810270000033995e+01,3.727433676792406114e+00
6.265840810000033656e+01,3.732501578493324867e+00
6.282871350000034028e+01,3.737429468882512928e+00
6.293723310000034132e+01,3.740239858319636568e+00
6.296210000000034057e+01,3.740883849571853048e+00
6.296410000000034302e+01,3.740935644628914147e+00
6.296610000000033835e+01,3.740987439685975247e+00
6.299096690000033760e+01,3.741631430938191283e+00
6.309948650000033155e+01,3.744593796544943398e+00
6.326979190000033526e+01,3.749371059674190931e+00
6.344009730000033898e+01,3.754363120837155510e+00
6.361040270000034269e+01,3.759569979846185017e+00
6.378070810000033930e+01,3.765021107342036100e+00
6.395101350000033591e+01,3.770702923964812658e+00
6.405953310000033696e+01,3.774433132757175624e+00
6.408440000000032910e+01,3.775305045037481655e+00
6.408640000000033865e+01,3.775375171372514327e+00
6.408840000000033399e+01,3.775445297707546111e+00
6.411326690000034034e+01,3.776317209987853030e+00
6.422178650000033429e+01,3.780155532089300330e+00
6.439209190000033800e+01,3.786387138407291353e+00
6.456239730000034172e+01,3.792866823894031736e+00
6.473270270000034543e+01,3.799561307350818762e+00
6.490300810000033493e+01,3.806470588784970577e+00
6.507331350000033865e+01,3.813594668191347292e+00
6.518183310000034680e+01,3.818228585278764964e+00
6.520670000000033895e+01,3.819300666699881663e+00
6.520870000000033428e+01,3.819389124311890260e+00
6.521070000000034383e+01,3.819477581923899301e+00
6.523556690000035019e+01,3.820577415219927886e+00
